genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Millardia,meltada,soft-furred rat,0.0674,-1.1713401,58.6,ml O2/h,7.03,0.84707886,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Miniopterus,australis,little bent-wing bat,0.1072,-0.9698052,94.3,ml O2/h,11.32,1.05369294,c,land,yes,chiroptera,"White and Seymour, 2003"

Miniopterus,schreibersii,schreiber's bent-winged bat,0.01107889,-1.9555038,25.4666667,ml O2/h,3.06,0.48515335,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Brown 1999; Genoud 2017 dataset"

Molossus,molossus,velvety free-tailed bat,0.0162,-1.790485,20.052,ml O2/h,2.41,0.38133894,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Monodelphis,brevicaudata,northern red-sided opossum,0.09916667,-1.0036343,69.3266667,ml O2/h,8.32,0.92008157,c,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1978; Genoud 2017 dataset"

Monodelphis,domestica,gray short-tailed opossum,0.104,-0.9829667,60,ml O2/h,7.2,0.8573325,o,land,yes,didelphimorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson and Olson 1988; Genoud 2017 dataset"

Monophyllus,redmani,leach's single leaf bat,0.0087,-2.0604807,11.1,ml O2/h,1.33,0.12450422,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Rodriguez-Duran 1995; Genoud 2017 dataset"

Mops,condylurus,angolan free-tailed bat,0.0232,-1.634512,32.2,ml O2/h,3.864,0.58703712,o,land,yes,chiroptera,Maloney et al. (1999)

Mormoops,blainvillei,antillean ghost-faced bat,0.00888786,-2.0512029,8.26928571,ml O2/h,0.99,-0.0033508,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Rodriguez-Duran 1995; Genoud 2017 dataset"

Mormoops,megalophylla,ghost-faced bat,0.0165,-1.7825161,24.4,ml O2/h,2.93,0.46657107,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bonaccorso et al., 1992; Genoud 2017 dataset"

Mus,musculus,house mouse,0.022888,-1.6403922,4.26336,kcal/day,4.26336,0.62975201,o,land,yes,rodentia,"Schmidt-Nielsen, 1997; Cretegny and Genoud 2006; Genoud 2017 dataset"

Mus,minutoides,african pygmy mouse,0.00824667,-2.0837216,21.9377778,ml O2/h,2.63,0.42037388,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Webb and Skinner 1995; Genoud 2017 dataset"

Mus,spretus,algerian mouse,0.0218,-1.6615435,61.9,ml O2/h,7.43,0.8708719,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Mus,macedonicus,macedonian mouse,0.01404,-1.8526329,19.38,ml O2/h,2.3256,0.36653502,o,land,yes,rodentia,Haim et al. (1999)

Muscardinus,avellanarius,hazel dormouse,0.0235,-1.6289321,63,ml O2/h,7.56,0.8785218,h,land,yes,rodentia,"White and Seymour, 2003"

Mustela,nivalis,least/arctic weasel,0.09203162,-1.0360629,22.3129479,kcal/day,22.3129479,1.34855695,o,land,yes,carnivora,"Scholander et al., 1950; Zub et al., 2013; Zub et al., 2012; Genoud 2017 dataset"

Mustela,erminea,stoat,0.139875,-0.8542599,294,ml O2/h,35.28,1.54752858,c,land,yes,carnivora,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Casey and Casey 1979; Genoud 2017 dataset"

Mustela,frenata,long-tailed weasel,0.225,-0.6478175,237,ml O2/h,28.44,1.45392959,c,land,yes,carnivora,"White and Seymour, 2003; Brown and Lasiewski 1972; Genoud 2017 dataset"

Mustela,eversmanii,steppe polecat,0.612,-0.2132486,434.5,ml O2/h,52.14,1.71717103,c,land,yes,carnivora,Harrington et al. (2003)

Mustela,nigripes,black-footed ferret,0.92,-0.0362122,460,ml O2/h,55.2,1.74193908,c,land,yes,carnivora,Harrington et al. (2003)

Myodes,californicus,western red-backed vole,0.0183,-1.7375489,61.1,ml O2/h,7.33,0.86522246,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Myodes,glareolus,bank vole,0.02095167,-1.6787814,52.631,ml O2/h,6.32,0.80042287,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Labocha et al., 2004; Genoud 2017 dataset"

Myodes,rufocanus,grey red-backed vole,0.027,-1.5686362,59.4,ml O2/h,7.13,0.85296769,o,land,yes,rodentia,"White and Seymour, 2003"

Myodes,rutilus,northern red-backed vole,0.028,-1.552842,77,ml O2/h,9.24,0.96567197,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Rosenmann et al., 1975; Genoud 2017 dataset"

Myodes,gapperi,southern red-backed vole,0.02268889,-1.6441868,45.4422222,ml O2/h,5.45,0.73664081,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Myoprocta,acouchy,red acouchi,0.914,-0.0390538,502.7,ml O2/h,60.32,1.78049013,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Myopus,schisticolor,wood lemming,0.0264,-1.5783961,94.8636364,ml O2/h,11.38,1.05628101,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Saarela and Hissa 1993; Genoud 2017 dataset"

Myosorex,varius,forest shrew,0.01232,-1.9093893,23.86,ml O2/h,2.8632,0.45685169,c,land,yes,eulipotyphla,Brown et al. (1997)

Myotis,lucifugus,little brown bat,0.0052,-2.2839967,8.9,ml O2/h,1.07,0.02857125,c,land,yes,chiroptera,"White and Seymour, 2003"

Myotis,nigricans,black myotis,0.0037,-2.4317983,4.8,ml O2/h,0.58,-0.2395775,c,land,yes,chiroptera,"White and Seymour, 2003"

Myotis,bechsteinii,bechstein's bat,0.0089,-2.05061,9.6,ml O2/h,1.152,0.06145248,c,land,yes,chiroptera,Becker et al. (2013a)

Myotis,chiloensis,chilean myotis,0.00578,-2.2380722,10.17,ml O2/h,1.2204,0.0865022,c,land,yes,chiroptera,Bozinovic et al. (1985)

Myotis,daubentonii,daubenton's bat,0.0078,-2.1079054,7.8,ml O2/h,0.936,-0.0287242,c,land,yes,chiroptera,Becker et al. (2013b)

Myotis,nattereri,natterer's bat,0.0071,-2.1487417,8.7,ml O2/h,1.044,0.0187005,c,land,yes,chiroptera,Becker et al. (2013a)

Myrmecobius,fasciatus,numbat,0.48,-0.3187588,177.846667,ml O2/h,21.34,1.32922698,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Cooper et al., 2003; Genoud 2017 dataset"

Myrmecophaga,tridactyla,giant anteater,30.6,1.48572143,2604,ml O2/h,312.48,2.49482223,c,land,yes,pilosa,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Mystromys,albicaudatus,white-tailed rat,0.09378,-1.0278898,126.8,ml O2/h,15.22,1.1823005,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Nandinia,binotata,african palm civet,4.27,0.63042788,862.345,ml O2/h,103.48,2.0148623,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Napaeozapus,insignis,woodland jumping mouse,0.02163333,-1.6648766,38.9583333,ml O2/h,4.67,0.66978161,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Brower and Cade 1966; Genoud 2017 dataset"

Nasua,narica,white-nosed coati,3.98366667,0.60028299,1206.11127,ml O2/h,144.73,2.16056862,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Chevalier 1987; Genoud 2017 dataset"

Nasua,nasua,south american coati,4,0.60205999,995.502,ml O2/h,163.24,2.21283723,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Chevillard-Hugot et al., 1980; Genoud 2017 dataset; Scholander et al., 1950"

Natalus,tumidirostris,trinidadian funnel-eared bat,0.0054,-2.2676062,8.33059319,ml O2/h,1,-0.0001428,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Genoud et al., 1990; Genould 2017 dataset"

Neofiber,alleni,round-tailed muskrat,0.2581,-0.588212,216.8,ml O2/h,26.02,1.41524052,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Neomys,anomalus,mediterranean water shrew,0.0131,-1.8827287,66.8,ml O2/h,8.02,0.90395771,c,land,yes,eulipotyphla,"White and Seymour, 2003"

Neomys,fodiens,eurasian water shrew,0.0147,-1.8326827,44.4266667,ml O2/h,5.33,0.72682498,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Neotoma,albigula,white-throated woodrat,0.19242222,-0.7157448,140.544444,ml O2/h,16.87,1.22699493,h,land,yes,rodentia,"White and Seymour, 2003; Brown 1968; Genoud 2017 dataset"

Neotoma,cinerea,bushy-tailed woodrat,0.1816,-0.7408842,144.5,ml O2/h,17.34,1.23904909,o,land,yes,rodentia,"White and Seymour, 2003; Kenagy and Vleck 1982; Genoud 2017 dataset"

Neotoma,fuscipes,dusky-footed woodrat,0.187,-0.7281584,147.7,ml O2/h,17.72,1.24856174,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Neotoma,lepida,desert woodrat,0.107325,-0.9692991,83.7825,ml O2/h,10.056,1.0024253,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Lee (1963); Genoud 2017 dataset"

Neotoma,macrotis,big-eared woodrat,0.1867,-0.7288557,147.5,ml O2/h,17.7,1.24797327,h,land,yes,rodentia,Lee (1963)

Neovison,vison,american mink,0.6864,-0.1634227,504.38,ml O2/h,60.53,1.7819391,c,land,yes,carnivora,"White and Seymour, 2003; Farrell and Wood 1968; Genoud 2017 dataset"

Neurotrichus,gibbsii,american shrew mole,0.0118,-1.928118,46.5,ml O2/h,5.58,0.7466342,c,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Campbell and Hochachka 2000; Genoud 2017 dataset"

Ningaui,yvonneae,southern ningaui,0.0116,-1.935542,15.7,ml O2/h,1.88,0.2750809,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser and Baudinette 1988; Genoud 2017 dataset"

Noctilio,albiventris,lesser bulldog bat,0.03694286,-1.4324695,36.7228571,ml O2/h,4.41,0.64411771,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Chappell and Roverud 1990; Genoud 2017 dataset"

Noctilio,leporinus,greater bulldog bat,0.061,-1.2146702,48.2403158,ml O2/h,5.79,0.76259139,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Notiosorex,crawfordi,crawford's gray shrew,0.004,-2.39794,12.9,ml O2/h,1.55,0.18977096,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Lindstedt 1980; Genoud 2017 dataset"

Notomys,alexis,spinifex hopping mouse,0.03294167,-1.4822544,40.6166667,ml O2/h,4.87,0.68788553,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; White et al., 2006; Genoud 2017 dataset"

Notomys,cervinus,fawn hopping mouse,0.03411667,-1.4670334,41.9216667,ml O2/h,5.03,0.70161979,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Lee 1970; Genoud 2017 dataset"

Notoryctes,caurinus,northern marsupial mole,0.034,-1.4685211,21.4,ml O2/h,2.57,0.40959502,o,land,yes,notoryctemorphia,"White and Seymour, 2003"

Nycteris,thebaica,egyptian slit-faced bat,0.01165,-1.9336741,18.76,ml O2/h,2.2512,0.35241408,c,land,yes,chiroptera,Toussaint & McKechnie (2012)

Nycticebus,coucang,sunda slow loris,1.2391625,0.09312826,293.33125,ml O2/h,35.2,1.54653958,o,land,yes,primates,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Muller 1979; Genoud 2017 dataset"

Nycticeius,humeralis,evening bat,0.009,-2.0457575,10.7,ml O2/h,1.284,0.10856502,c,land,yes,chiroptera,Genoud (1993)

Nyctimene,albiventer,common tube-nosed fruit bat,0.0309,-1.5100415,29.6544286,ml O2/h,3.56,0.55127081,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Nyctimene,cyclotis,round-eared tube-nosed bat,0.0404,-1.3936186,64.6,ml O2/h,7.75,0.88941376,c,land,yes,chiroptera,"White and Seymour, 2003; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Nyctimene,major,island tube-nosed bat,0.0136,-1.8664611,20.4,ml O2/h,2.45,0.38881141,h,land,yes,chiroptera,"White and Seymour, 2003"

Nyctimene,robinsoni,eastern tube-nosed bat,0.0548,-1.2612194,54.7,ml O2/h,6.564,0.81716857,h,land,yes,chiroptera,Riek et al. (2010)

Nyctophilus,geoffroyi,lesser long-eared bat,0.0079,-2.1023729,11.3842,ml O2/h,1.37,0.13548376,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hosken and Withers 1999; Genoud 2017 dataset"

Nyctophilus,bifax,eastern long-eared bat,0.0099,-2.0043648,12.67,ml O2/h,1.5204,0.18195786,c,land,yes,chiroptera,Stawski & Geiser (2011)

Nyctophilus,gouldi,gould's long-eared bat,0.01,-2,12.2,ml O2/h,1.464,0.16554108,c,land,yes,chiroptera,Geiser & Brigham (2000)

Nyctophilus,timoriensis,western long-eared bat,0.0136,-1.8664611,20.4,ml O2/h,2.448,0.38881141,c,land,yes,chiroptera,Hosken (1997)

Ochotona,princeps,american pika,0.109,-0.9625735,167,ml O2/h,20.04,1.30189772,h,land,yes,lagomorpha,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Ochotona,dauurica,daurian pika,0.1277,-0.8938091,249,ml O2/h,29.88,1.47538059,h,land,yes,lagomorpha,"White and Seymour, 2003"

Ochrotomys,nuttalli,golden mouse,0.0195,-1.7099654,27.1,ml O2/h,3.25,0.51215054,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Layne and Dolan 1975; Genoud 2017 dataset"

Octodon,bridgesi,bridges's degu,0.1761,-0.7542406,183.3,ml O2/h,22,1.34234371,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic 1992; Genoud 2017 dataset"

Octodon,degus,common degu,0.2033,-0.6918626,183.065,ml O2/h,21.97,1.34178657,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Octodon,lunatus,moon-toothed degu,0.1732,-0.7614521,171.5,ml O2/h,20.58,1.31344537,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic 1992; Genoud 2017 dataset"

Octodontomys,gliroides,mountain degu,0.153075,-0.8150957,129.48,ml O2/h,15.54,1.19138394,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Octomys,mimax,mountain viscacha rat,0.1186,-0.9259153,115,ml O2/h,13.8,1.13987909,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Odocoileus,virginianus,white-tailed deer,53.656,1.72961829,16190.3333,ml O2/h,1942.84,3.28843703,h,land,yes,artiodactyla,"White and Seymour, 2003; Silver et al., 1959; Genoud 2017 dataset"

Oligoryzomys,longicaudatus,long-tailed colilargo/long-tailed pygmy race rat,0.0282,-1.5497509,51,ml O2/h,6.12,0.78675142,o,land,yes,rodentia,"White and Seymour, 2003; Bozinovic and Rosenmann 1988; Genoud 2017 dataset"

Ondatra,zibethicus,muskrat,1.0046,0.00199317,642.9,ml O2/h,77.15,1.88732467,o,aquatic,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1992; Genoud 2017 dataset"

Onychomys,torridus,southern grasshopper mouse,0.0191,-1.7189666,29.6,ml O2/h,3.55,0.55047296,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Whitford and Conley 1971; Genoud 2017 dataset"

Ornithorhynchus,anatinus,platypus,1.087,0.03622954,381.333333,ml O2/h,45.76,1.66048601,c,aquatic,yes,monotremata,"White and Seymour, 2003; Grant and Dawson 1978; Genoud 2017 dataset"

Orycteropus,afer,aardvark,48,1.68124124,6144,ml O2/h,737.28,2.86763245,c,land,yes,tubulidentata,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Oryctolagus,cuniculus,european rabbit,2,0.30103,1140,ml O2/h,136.8,2.1360861,h,land,yes,lagomorpha,"White and Seymour, 2003"

Otolemur,crassicaudatus,brown greater galago,0.95,-0.0222764,412.15,ml O2/h,49.458,1.69423655,o,land,yes,primates,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Otolemur,garnettii,northern greater galago,1.03875,0.01651104,484.25,ml O2/h,58.11,1.76425088,o,land,yes,primates,"White and Seymour, 2003; Muller and Jaschke 1980; Genoud 2017 dataset"

Otomys,irroratus,southern african vlei rat,0.102,-0.9913998,84.9,ml O2/h,10.19,1.00808894,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Otomys,sloggetti,sloggett's vlei rat,0.11329,-0.9458084,133.7,ml O2/h,16.04,1.20531265,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Richter et al., 1997; Genoud 2017 dataset"

Otomys,unisulcatus,bush vlei rat,0.096,-1.0177288,106.6,ml O2/h,12.79,1.10693845,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Du Plessis et al., 1989; Genoud 2017 dataset"

Otospermophilus,beecheyi,ground squirrel,0.81933333,-0.0865394,56.8,kcal/day,56.8,1.75434834,h,land,yes,rodentia,"Schmidt-Nielsen, 1997; Scholander et al., 1950"

Ovibos,moschatus,muskox,195.5,2.29114676,26988,ml O2/h,3238.56,3.51035195,h,land,yes,artiodactyla,Nilssen et al. (1994)

Ovis,aries,sheep,42.7,1.63042788,9.59,liter O2/h,1150.8,3.06099985,h,land,yes,artiodactyla,"Schmidt-Nielsen, 1997"

Ovis,canadensis,bighorn sheep,69.125,1.83963514,19120,ml O2/h,2294.4,3.36066913,h,land,yes,artiodactyla,"White and Seymour, 2003"

Oxymycterus,roberti,robert's hocicudo,0.0835,-1.0783135,91,ml O2/h,10.92,1.03822264,c,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1984; Genoud 2017 dataset"

Pan,troglodytes,chimpanzee,38,1.5797836,9462,ml O2/h,1135.44,3.05516419,o,land,yes,primates,Benedict (1938)

Panthera,leo,lion,98,1.99122608,16954,ml O2/h,2034.48,3.30845342,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Panthera,onca,jaguar,59.7,1.77597433,12011.5,ml O2/h,1441.38,3.15877849,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Panthera,tigris,tiger,137.9,2.13956427,23995,ml O2/h,2879.4,3.459302,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Papio,anubis,olive baboon,9.5,0.97772361,2778,ml O2/h,333.36,2.52291349,o,land,yes,primates,"White and Seymour, 2003"

Papio,ursinus,chacma baboon,16.9,1.2278867,5147,ml O2/h,617.64,2.79073541,o,land,yes,primates,"White and Seymour, 2003"

Paradoxurus,hermaphroditus,asian palm civet,3.16,0.49968708,760,ml O2/h,91.2,1.95999484,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Paraechinus,aethiopicus,desert hedgehog,0.4525,-0.3443814,113.166667,ml O2/h,13.58,1.13289978,c,land,yes,eulipotyphla,"White and Seymour, 2003; Shkolnik and Schmidt-Nielsen 1976; Genoud 2017"

Paranyctimene,raptor,lesser tube-nosed fruit bat,0.0236,-1.627088,24.5,ml O2/h,2.94,0.46834733,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Paraxerus,cepapi,smith's bush squirrel,0.2236,-0.6505282,145.3,ml O2/h,17.44,1.24144686,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove (2003); from Naya dataset"

Parotomys,brantsii,brants's whistling rat,0.0865,-1.0629839,83.9,ml O2/h,10.07,1.00294321,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Pecari,tajacu,collared peccary,20.2142857,1.3056584,5863.84857,ml O2/h,703.66,2.84736399,o,land,yes,artiodactyla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Zervanos 1975; Genoud 2017 dataset"

Pedetes,capensis,south african springhare,2.3,0.36172784,793.5,ml O2/h,95.22,1.97872818,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Muller et al., 1979; Genoud 2017 dataset"

Perameles,gunnii,eastern barred bandicoot,0.70328571,-0.1528682,381.428571,ml O2/h,45.77,1.66059447,c,land,yes,peramelemorphia,"White and Seymour, 2003; Larcombe et al., 2006; Genoud 2017 dataset"

Perameles,nasuta,long-nosed bandicoot,0.645,-0.1904403,316,ml O2/h,37.92,1.57886833,o,land,yes,peramelemorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hulbert and Dawson 1974; Genoud 2017 dataset"

Perameles,bougainville,western barred bandicoot,0.255,-0.5934598,161,ml O2/h,19.32,1.28600712,o,land,yes,peramelemorphia,Larcombe & Withers (2006)

Perodicticus,potto,potto,0.941,-0.0264104,364.572667,ml O2/h,43.75,1.64096535,o,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hildwein 1972; Hildwein and Goffart 1975; Genoud 2017 dataset"

Perognathus,flavus,silky pocket mouse,0.0083,-2.0809219,17.3,ml O2/h,2.08,0.31722735,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Perognathus,longimembris,little pocket mouse,0.0089,-2.05061,9.5,ml O2/h,1.14,0.05690485,o,land,yes,rodentia,"White and Seymour, 2003; Chew et al., 1967; Genoud 2017 dataset"

Perognathus,parvus,great basin pocket mouse,0.0192,-1.7166988,28.8,ml O2/h,3.456,0.53857373,o,land,yes,rodentia,Kenagy & Vleck (1982)

Peromyscus,boylii,brush mouse,0.0232,-1.634512,54.3,ml O2/h,6.52,0.81398108,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Peromyscus,californicus,california mouse,0.0478,-1.3205721,52.59,ml O2/h,6.31,0.80002936,o,land,yes,rodentia,"White and Seymour, 2003; McNab and Morrison 1963; Genoud 2017 dataset"

Peromyscus,crinitus,canyon mouse,0.0184,-1.7351822,28,ml O2/h,3.36,0.52633928,o,land,yes,rodentia,"White and Seymour, 2003; McNab and Morrison 1963; Genoud 2017 dataset"

Peromyscus,eremicus,cactus mouse,0.0215,-1.6675615,32.24,ml O2/h,3.87,0.58757628,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab and Morrison 1963; Genoud 2017 dataset"

Peromyscus,gossypinus,cotton mouse,0.0215,-1.6675615,37,ml O2/h,4.44,0.64738297,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Glenn 1970; Genoud 2017 dataset"

Peromyscus,leucopus,white-footed mouse,0.02355,-1.6280091,46.18,ml O2/h,5.54,0.74350976,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Deavers and Hudson 1981; Genoud 2017 dataset"

Peromyscus,maniculatus,deer mouse,0.020767778,-1.68260996,40.1425,ml O2/h,4.816666667,0.682746592,o,land,yes,rodentia,"White and Seymour, 2003; McNab and Morrison 1963; Genoud 2017 dataset; Lovegrove 2003; Naya dataset"

Peromyscus,megalops,brown deer mouse,0.0662,-1.179142,90.7,ml O2/h,10.88,1.03678853,o,land,yes,rodentia,"White and Seymour, 2003; Musser and Shoemaker 1965; Genoud 2017 dataset"

Peromyscus,polionotus,oldfield mouse,0.012,-1.9208188,21.5,ml O2/h,2.58,0.41161971,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Glenn 1970; Genoud 2017 dataset"

Peromyscus,keeni,northwestern deer mouse,0.0283,-1.5482136,46.7,ml O2/h,5.6,0.74849813,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hayward 1965; Genoud 2017 dataset"

Peromyscus,crinitus,canyon mouse variant,0.0184,-1.7351822,28.025,ml O2/h,3.363,0.52672687,o,land,yes,rodentia,Lovegrove (2003)

Peropteryx,macrotis,lesser dog-like bat,0.0051,-2.2924298,11.7,ml O2/h,1.39,0.14363924,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Genoud et al., 1990; Genould 2017 dataset"

Petauroides,volans,greater glider,1.141,0.05728564,571.775,ml O2/h,68.61,1.83640641,h,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Petaurus,breviceps,sugar glider,0.12795333,-0.8929484,78.7026667,ml O2/h,9.44,0.97517069,o,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Holloway and Geiser 2001; Genoud 2017 dataset"

Petrodromus,tetradactylus,four-toed elephant shrew,0.20611,-0.6859009,179.5,ml O2/h,21.54,1.3332457,c,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1995; Genoud 2017 dataset"

Phalanger,carmelitae,mountain cuscus,1.3897,0.14292106,534.328358,ml O2/h,64.11940299,1.80698947,o,land,yes,diprotodontia,Khaliq et al. (2015); McNab 2008; Genoud 2017 dataset

Phalanger,sericeus,silky cuscus,1.3532,0.13136199,428.358209,ml O2/h,51.40298507,1.71098834,o,land,yes,diprotodontia,Khaliq et al. (2015); McNab 2008; Genoud 2017 dataset

Phalanger,gymnotis,ground cuscus,1.5655,0.19465307,518.2,ml O2/h,62.184,1.79367865,o,land,yes,diprotodontia,McNab (2008b)

Phalanger,intercastellanus,eastern common cuscus,1.6714,0.2230804,658.4,ml O2/h,79.008,1.89767107,h,land,yes,diprotodontia,McNab (2008b)

Phalanger,orientalis,northern common cuscus,2.1813,0.3387154,883.4,ml O2/h,106.008,2.02533864,h,land,yes,diprotodontia,McNab (2008b)

Phascogale,tapoatafa,brush-tailed phascogale,0.157,-0.8041003,127.2,ml O2/h,15.26,1.18366836,o,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Nelson 1969; Genoud 2017 dataset"

